none,えんどう桔梗こどもクリニック,函館市桔梗5-7-16,0138-47-3011,小児科 内科 アレルギー科,北海道,none,none,none,none,none,none,none
none,医療法人社団緑生会 緑の森皮膚科クリニック,札幌市中央区北2条西3丁目朝日生命札幌ビル5F,011-221-0002,皮膚科 美容皮膚科,北海道,none,none,none,none,none,none,none
none,クリニ－クアンジェ牧山内科,札幌市西区山の手3条12丁目1-34,011-632-0123,内科,北海道,none,none,none,none,none,none,none
none,医療法人社団響 さくら内科クリニック,札幌市白石区東札幌四条4-1-18,011-817-2171,在宅医療,北海道,none,none,none,none,none,none,none
none,医療法人社団明珠会 札幌白石産科婦人科病院,札幌市白石区東札幌五条6丁目6-28,011-862-7211,産婦人科,北海道,none,none,none,none,none,none,none
none,おおきな木ホームクリニック,札幌市白石区南郷通7丁目北5-30タカシマビル1F,011-868-0033,内科，老年内科,北海道,none,none,none,none,none,none,none
none,菊水小さな動物病院,札幌市白石区菊水二条2-3-30,011-832-8320,犬、猫、その他小動物の診療，獣医科,北海道,none,none,none,none,none,none,none
none,SAM CLINIC,札幌市厚別区上野幌3条6丁目5-6,011-215-6120,,北海道,none,none,none,none,none,none,none
none,たけだ皮膚科スキンケアクリニック,札幌市厚別区厚別西三条6丁目700-90,011-891-8811,皮膚科，美容皮膚科,北海道,none,none,none,none,none,none,none
none,医療法人社団のぞみ会 レディースクリニックぬまのはた,苫小牧市北栄町2丁目27-7,0144-53-0303,産婦人科 婦人科 自由診療 点滴療法,北海道,none,none,none,none,none,none,none
none,桑園駅前内科クリニック,札幌市中央区 北十条西15丁目1-57ブランズ札幌桑園駅前ウエスト1F,011-642-3111,内科，消化器内科,北海道,none,none,none,none,none,none,none
none,ゴールデンゲートクリニック,札幌市中央区大通東4丁目1-19大通東やまむらセンタービルB1F,011-206-8717,点滴療法，自由診療,北海道,none,none,none,none,none,none,none
none,医療法人 札幌手術センター札幌麻酔クリニック,札幌市中央区大通西16丁目1番10号ITCセンタービル4F,011-633-2525,在宅診療，点滴療法，統合医療，麻酔科,北海道,none,none,none,none,none,none,none
none,医療法人社団ゆほな会 はやしたくみ女性クリニック,札幌市中央区大通西25丁目1-2ハートランド円山　3階,011-640-8845,予防接種，女性内科，婦人科，点滴療法，産婦人科，産科（外来検診）,北海道,none,none,none,none,none,none,none
none,医療法人社団 ペルル女性クリニック,札幌市西区二十四軒3条1丁目1-18メディカルスクエア二十四軒2階,011-624-7031,産科 婦人科,北海道,none,none,none,none,none,none,none
none,イワタクリニック,帯広市西十二条北2丁目4-8,0155-36-7556,内科，呼吸器内科，循環器内科，消化器内科，漢方内科,北海道,none,none,none,none,none,none,none
none,医療法人社団竹桜会 小関内科医院,帯広市西19条南2丁目27-12,0155-36-3535,内科，消化器内科,北海道,none,none,none,none,none,none,none
none,医療法人緑葉会 グリーン皮膚科クリニック,帯広市西23条南2丁目16-41,0155-61-1212,皮膚科，美容皮膚科,北海道,none,none,none,none,none,none,none
none,医療法人サンライブ 杉元内科医院,釧路市中園町24-10,診療科目,内科，消化器内科,北海道,none,none,none,none,none,none,none
none,none,紋別郡遠軽町大通北1丁目3番地　医療法人縁紡会遠軽共立病院,0158-42-5215,整形外科,北海道,none,none,none,none,none,none,none
none,医療法人社団正寿会 秋山記念病院,函館市石川町41-9,0138-46-6660,乳腺外科 婦人科 産科,北海道,none,none,none,none,none,none,none
none,医療法人社団恩和会 旭川高砂台病院,旭川市高砂台1丁目1番地22号,0166-61-5700,内科，口腔外科，外科，整形外科，歯科・口腔外科，点滴療法，眼科,北海道,none,none,none,none,none,none,none
