"病気についての悩みや健康に対する不安な思いなど、さまざまな事情で訪れる患者さまに対して、私たちは患者さまそれぞれのご要望にお応えすべく、再生医療を中心とした治療を提供しています。
皆さまの健康長寿を実現するため、特に「がん」「認知症」「疾病予防」「アンチエイジング」のための医療に力を入れています。これらは互いに密接に関係しており、すべての方にとって必要な医療だと考えます。","専門分野・得意とする点滴療法
循環器内科、総合内科、第２種・第３種の再生医療の研究開発を専門にしています。第２種再生医療では自己脂肪由来間葉系幹細胞を使用した治療を、第３種再生医療では樹状細胞やNK細胞を使用したがんの予防や治療を行っています。
点滴療法はニューヨークのサレルノ・センターのDr. ジョン・サレルノのプロトコールを使用しています。キレーション療法は開発者のDr.ゲーリー・ゴードンに師事し、ご指導いただきました。
幹細胞上清療法やCa EDTAキレーション、高濃度ビタミンC点滴療法、そして血液オゾン療法などの点滴療法は、患者さんのご希望をよくお伺いし、身体的問題や病状などを診させていいただいた上で、治療をご提案させていただいています。","点滴や治療において心掛けていること
１．その患者さんにとって治療効果を最大にすることを期待できる医療のご提供。
２．患者さんの身になって、ライフステージやライフスタイルを考慮した医療のご提供。","来院を検討中の方へのメッセージ
もし今、健康や病気のことでお悩みなら、当院の扉をたたいてみてください。何か新しい道をご提案できるかもしれません。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,キレーション療法(Ca-EDTA),プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://tokyocancerclinic.jp,阿部博幸
"【クリニックの所在地に関して】
場所は東京都千代田区で、JRと地下鉄4駅がある市谷駅から徒歩1分です。都内はもとより、近県からも通院しやすい場所を選びました。遠隔地の方は、ZOOM診療も可能で、お互い表情が見られますので、好評です。ビル5階の点滴ルームで、リクライニングチェアから外を見ながら(春は旧江戸城外堀土手の桜が見えます)、ゆったりとした気分で週6日まで点滴可能（日曜日午前中も）です。個室も完備しています。
【治療に関して】
院長の勤務医時代はあらゆる癌患者さんを病棟で診てきましたので、どんな状況の癌の患者さんにも対応できます。院長は半世紀前に高濃度ビタミンC点滴療法を開始したパイオニアの一人で、この医療を中心に据えています（後述）。また、リンパ球療法（T細胞、NK細胞）、樹状細胞ワクチン療法、遺伝子治療など、広義の免疫療法を長年多数実地してきましたので、即効性や遅効性などそれぞれの長所と短所を客観的にお話しできます。
必要に応じて、院長のネットワークを通して、癌の転移巣に対して、最新のピンポイント放射線治療、ラジオ波焼灼療法、血管内治療、局所温熱療法、少量抗癌剤療法など、最適と判断される専門医に紹介しています。
自己免疫疾患などの難病や抗加齢に関しても、いろいろな方法を行っています（後述）。","専門分野・得意とする点滴療法
【専門分野】
内科一般、腫瘍内科、難病医療、抗加齢医療
【点滴療法について】
癌に対する高濃度ビタミンC点滴療法は、個人差はあるものの標準治療との併用がより効果的で抗癌剤や放射線の副作用を減らし、かつ抗癌効果も増強します。
近年高濃度ビタミンC点滴療法の抗癌メカニズムが分子レベルで明らかにされつつあります。
自己免疫疾患などの難病にも高濃度ビタミンC点滴療法が有効であるという多数の臨床経験を持っています。
抗加齢に関しても、体内の抗酸化作用が期待でき、いわば体の錆ができにくくなります。
動脈硬化症など病勢が進んでいれば、進行を遅くし、あるいは病気との共存を目指します。ヨーロッパで長い歴史のあるオゾン療法も行っています。
神経系の難病には、グルタチオン点滴や幹細胞上清点滴などを行っています。","点滴や治療において心掛けていること
癌の標準治療は立派なものですが、治療のリスクとともに、後遺症がある種の確率で起きます。
医療の最終選択権は患者さんにありますが非標準治療だけで進行癌、特に転移癌を治すのは至難ですから、標準治療のどれを選び選ばないかについて、それぞれ長所や短所があり選択は難問です。
半世紀に及ぶ癌・難病の臨床経験のある院長は、標準治療の最新情報を確認しながら、患者さんにとっての最適の組合せを、順位を付けて提案します。補完医療としてビタミンC点滴療法などを選ぶか、どう組み合わせるか、当院では、建前ではなくて本音で、十分時間をかけて話し合っています。
患者さんの価値観を大切にしながら、十分時間をかけて話し合い、ベストの医療を探し出します。","来院を検討中の方へのメッセージ
癌や難病にかかることは、初体験であり、不安がつきものです。無理に前向きになろうとする（欧米医療）よりも、不安そのものをあるがまま受け入れる（東洋思想）方が、気持ちが少し楽になるかもしれません。
小さくても大きくても希望を持つことができれば、日々の生活は少し楽になります。
十分時間をかけて、ご本人のお気持ちをお聴きし、できるだけ寄り添う医療を心掛けています（個別化医療）。年余の無理がたたって発病に至ったのかもしれません。人生をギアチェンジし、心身を休めましょう。
癌・難病は総力戦です。今かかっている病院と共に、当院のスタッフもサポートグループに入れていただければ幸いです。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",http://kenkou-zoushin.com/,院長 水上 治
"【治療方針】
噛むということは単に咀嚼するというだけでは無く、歯、顎関節、頭蓋骨の3つのバランスのとれた情報を、顎関節を基点として全身の神経・筋肉系へ信号を送ることと考えています。
ねじれた情報ではなくバランスのとれた情報を体の隅々に発信することが重要と考えます。
顎、頭蓋骨の歪みを戻して、顎関節と骨格が調和する様に調整いたします。
長い期間バランスを崩していると、それによって舌の使い方、食べ方、姿勢や体の筋肉の使い方などにも悪い影響を与えています。
当院では歯を治すだけではなく、歪みを治してお口の機能を上げる事により、全身の機能を上げることを考えて様々な指導をいたします。
◆冷えとり指導
◆食事の指導
◆噛み方指導
◆顎関節を傷めない使い方
◆舌の使い方
◆立ち方、歩き方、座り方
◆腰、股関節を傷めない使い方
◆寝相、枕の選び方
【対応できる点滴療法】
噛み合わせ治療は、本来の健康な体を取り戻すためものです。更にそこから一歩進んで、日々の健康増進を望まれる方もいらっしゃいます。
免疫力を高めたり、抗酸化力を強化するだけではなく歯周組織を強化して、日々の活力増進に欠かせないものとして考えております。
そのために当院では、高濃度ビタミンC点滴療法やDr.マイヤーズのマイヤーズカクテルを導入しています。","専門分野・得意とする点滴療法
私は歯科医師として、噛み合わせと顎関節の問題に長年取り組んでまいりました。
特に噛み合わせの不具合は、顎関節の位置変化をもたらします。これが原因となり眼・耳・鼻などに
さまざまな症状を引き起こすこともあります。
口腔・顎関節は、耳鼻科領域にも近接しますので、この領域にも影響します。
耳・鼻・めまい症状などがあれば、専門医の関与が必要になります。
当院では、日本耳鼻咽喉科学会認定医・日本めまい平衡医学会認定医の宮尾源二郎医師に、
歯科領域との関連を相談し、より広い視野の下で治療を進めております。
美味しく食べて健康な一生を過ごす。
舌を使い正しく噛む事で栄養の吸収や嚥下力や唾液の量も変化します。
更に高濃度ビタミンC点滴をして、免疫力、
抗酸化力をつけて健康増進に役立てて頂き、
活力に満ちた積極的な日々を過ごされることを願っております。","点滴や治療において心掛けていること
来院される患者様には、色々な不安や思い悩んでいらっしゃることがあります。
その１つ１つをお聞きして最良の方法を寄り添いながら一緒に考えていければと願っております。","来院を検討中の方へのメッセージ
何か歯や身体の不調で来院する方には、
まずは、その心配な身体の不調が歯や顎関節、頭蓋骨の歪みから来ているものかどうか診査、診断をいたします。
以前はなんでもなかったのに、首や肩が凝るようになった場合、左右前後の歯の高さ、
または噛む位置自体が違っていてバランスが乱れていることが考えられます。
この噛み合わせの不具合が原因となり、首や肩の筋肉に過剰な信号がでたり、
必要な信号が不足したりという事がしばしば見られます。
この信号の過不足が首や肩の凝りの原因につながっていきます。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）",https://brace-dental.com/,大森直樹
"駐車場は近隣に1台分あります。
各種口腔機能評価機器、唾液分析機器、体組成分析装置、骨密度測定装置、デジタルレントゲン装置、血圧脈波測定装置、美容医療トリートメント機器（ハイドラフェイシャル）、インソール作成用グラインダー、等の機器を揃え、全身を総合的に評価しております。","専門分野・得意とする点滴療法
日本抗加齢医学会専門医として総合的に診断します。
点滴療法ではプラセンタ注射、高濃度ビタミンC点滴注射、マイヤーズカクテル、グルタチオン点滴などを行っております。","点滴や治療において心掛けていること
常に感謝の気持ちを持ち、ヒポクラテスが諭した「First,do no harm」の原則、本邦の法律に則った医療を通して社会に貢献することを心掛けております。","来院を検討中の方へのメッセージ
必要に応じて全身状態の把握行い、ひとりひとりの状態に合わせた点滴療法をご提案しております。お気軽のご相談ください。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法",http://www.mro-cl.com,藤田典往
"病気についての悩みや健康に対する不安な思いなど、さまざまな事情で訪れる患者さまに対して、私たちは患者さまそれぞれのご要望にお応えすべく、再生医療を中心とした治療を提供しています。
皆さまの健康長寿を実現するため、特に「がん」「認知症」「疾病予防」「アンチエイジング」のための医療に力を入れています。これらは互いに密接に関係しており、すべての方にとって必要な医療だと考えます。","専門分野・得意とする点滴療法
循環器内科、総合内科、第２種・第３種の再生医療の研究開発を専門にしています。第２種再生医療では自己脂肪由来間葉系幹細胞を使用した治療を、第３種再生医療では樹状細胞やNK細胞を使用したがんの予防や治療を行っています。
点滴療法はニューヨークのサレルノ・センターのDr. ジョン・サレルノのプロトコールを使用しています。キレーション療法は開発者のDr.ゲーリー・ゴードンに師事し、ご指導いただきました。
幹細胞上清療法やCa EDTAキレーション、高濃度ビタミンC点滴療法、そして血液オゾン療法などの点滴療法は、患者さんのご希望をよくお伺いし、身体的問題や病状などを診させていいただいた上で、治療をご提案させていただいています。","点滴や治療において心掛けていること
１．その患者さんにとって治療効果を最大にすることを期待できる医療のご提供。
２．患者さんの身になって、ライフステージやライフスタイルを考慮した医療のご提供。","来院を検討中の方へのメッセージ
もし今、健康や病気のことでお悩みなら、当院の扉をたたいてみてください。何か新しい道をご提案できるかもしれません。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,キレーション療法(Ca-EDTA),プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://tokyocancerclinic.jp,阿部博幸
"【クリニックの所在地に関して】
場所は東京都千代田区で、JRと地下鉄4駅がある市谷駅から徒歩1分です。都内はもとより、近県からも通院しやすい場所を選びました。遠隔地の方は、ZOOM診療も可能で、お互い表情が見られますので、好評です。ビル5階の点滴ルームで、リクライニングチェアから外を見ながら(春は旧江戸城外堀土手の桜が見えます)、ゆったりとした気分で週6日まで点滴可能（日曜日午前中も）です。個室も完備しています。
【治療に関して】
院長の勤務医時代はあらゆる癌患者さんを病棟で診てきましたので、どんな状況の癌の患者さんにも対応できます。院長は半世紀前に高濃度ビタミンC点滴療法を開始したパイオニアの一人で、この医療を中心に据えています（後述）。また、リンパ球療法（T細胞、NK細胞）、樹状細胞ワクチン療法、遺伝子治療など、広義の免疫療法を長年多数実地してきましたので、即効性や遅効性などそれぞれの長所と短所を客観的にお話しできます。
必要に応じて、院長のネットワークを通して、癌の転移巣に対して、最新のピンポイント放射線治療、ラジオ波焼灼療法、血管内治療、局所温熱療法、少量抗癌剤療法など、最適と判断される専門医に紹介しています。
自己免疫疾患などの難病や抗加齢に関しても、いろいろな方法を行っています（後述）。","専門分野・得意とする点滴療法
【専門分野】
内科一般、腫瘍内科、難病医療、抗加齢医療
【点滴療法について】
癌に対する高濃度ビタミンC点滴療法は、個人差はあるものの標準治療との併用がより効果的で抗癌剤や放射線の副作用を減らし、かつ抗癌効果も増強します。
近年高濃度ビタミンC点滴療法の抗癌メカニズムが分子レベルで明らかにされつつあります。
自己免疫疾患などの難病にも高濃度ビタミンC点滴療法が有効であるという多数の臨床経験を持っています。
抗加齢に関しても、体内の抗酸化作用が期待でき、いわば体の錆ができにくくなります。
動脈硬化症など病勢が進んでいれば、進行を遅くし、あるいは病気との共存を目指します。ヨーロッパで長い歴史のあるオゾン療法も行っています。
神経系の難病には、グルタチオン点滴や幹細胞上清点滴などを行っています。","点滴や治療において心掛けていること
癌の標準治療は立派なものですが、治療のリスクとともに、後遺症がある種の確率で起きます。
医療の最終選択権は患者さんにありますが非標準治療だけで進行癌、特に転移癌を治すのは至難ですから、標準治療のどれを選び選ばないかについて、それぞれ長所や短所があり選択は難問です。
半世紀に及ぶ癌・難病の臨床経験のある院長は、標準治療の最新情報を確認しながら、患者さんにとっての最適の組合せを、順位を付けて提案します。補完医療としてビタミンC点滴療法などを選ぶか、どう組み合わせるか、当院では、建前ではなくて本音で、十分時間をかけて話し合っています。
患者さんの価値観を大切にしながら、十分時間をかけて話し合い、ベストの医療を探し出します。","来院を検討中の方へのメッセージ
癌や難病にかかることは、初体験であり、不安がつきものです。無理に前向きになろうとする（欧米医療）よりも、不安そのものをあるがまま受け入れる（東洋思想）方が、気持ちが少し楽になるかもしれません。
小さくても大きくても希望を持つことができれば、日々の生活は少し楽になります。
十分時間をかけて、ご本人のお気持ちをお聴きし、できるだけ寄り添う医療を心掛けています（個別化医療）。年余の無理がたたって発病に至ったのかもしれません。人生をギアチェンジし、心身を休めましょう。
癌・難病は総力戦です。今かかっている病院と共に、当院のスタッフもサポートグループに入れていただければ幸いです。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",http://kenkou-zoushin.com/,院長 水上 治
"【治療方針】
噛むということは単に咀嚼するというだけでは無く、歯、顎関節、頭蓋骨の3つのバランスのとれた情報を、顎関節を基点として全身の神経・筋肉系へ信号を送ることと考えています。
ねじれた情報ではなくバランスのとれた情報を体の隅々に発信することが重要と考えます。
顎、頭蓋骨の歪みを戻して、顎関節と骨格が調和する様に調整いたします。
長い期間バランスを崩していると、それによって舌の使い方、食べ方、姿勢や体の筋肉の使い方などにも悪い影響を与えています。
当院では歯を治すだけではなく、歪みを治してお口の機能を上げる事により、全身の機能を上げることを考えて様々な指導をいたします。
◆冷えとり指導
◆食事の指導
◆噛み方指導
◆顎関節を傷めない使い方
◆舌の使い方
◆立ち方、歩き方、座り方
◆腰、股関節を傷めない使い方
◆寝相、枕の選び方
【対応できる点滴療法】
噛み合わせ治療は、本来の健康な体を取り戻すためものです。更にそこから一歩進んで、日々の健康増進を望まれる方もいらっしゃいます。
免疫力を高めたり、抗酸化力を強化するだけではなく歯周組織を強化して、日々の活力増進に欠かせないものとして考えております。
そのために当院では、高濃度ビタミンC点滴療法やDr.マイヤーズのマイヤーズカクテルを導入しています。","専門分野・得意とする点滴療法
私は歯科医師として、噛み合わせと顎関節の問題に長年取り組んでまいりました。
特に噛み合わせの不具合は、顎関節の位置変化をもたらします。これが原因となり眼・耳・鼻などに
さまざまな症状を引き起こすこともあります。
口腔・顎関節は、耳鼻科領域にも近接しますので、この領域にも影響します。
耳・鼻・めまい症状などがあれば、専門医の関与が必要になります。
当院では、日本耳鼻咽喉科学会認定医・日本めまい平衡医学会認定医の宮尾源二郎医師に、
歯科領域との関連を相談し、より広い視野の下で治療を進めております。
美味しく食べて健康な一生を過ごす。
舌を使い正しく噛む事で栄養の吸収や嚥下力や唾液の量も変化します。
更に高濃度ビタミンC点滴をして、免疫力、
抗酸化力をつけて健康増進に役立てて頂き、
活力に満ちた積極的な日々を過ごされることを願っております。","点滴や治療において心掛けていること
来院される患者様には、色々な不安や思い悩んでいらっしゃることがあります。
その１つ１つをお聞きして最良の方法を寄り添いながら一緒に考えていければと願っております。","来院を検討中の方へのメッセージ
何か歯や身体の不調で来院する方には、
まずは、その心配な身体の不調が歯や顎関節、頭蓋骨の歪みから来ているものかどうか診査、診断をいたします。
以前はなんでもなかったのに、首や肩が凝るようになった場合、左右前後の歯の高さ、
または噛む位置自体が違っていてバランスが乱れていることが考えられます。
この噛み合わせの不具合が原因となり、首や肩の筋肉に過剰な信号がでたり、
必要な信号が不足したりという事がしばしば見られます。
この信号の過不足が首や肩の凝りの原因につながっていきます。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）",https://brace-dental.com/,大森直樹
"駐車場は近隣に1台分あります。
各種口腔機能評価機器、唾液分析機器、体組成分析装置、骨密度測定装置、デジタルレントゲン装置、血圧脈波測定装置、美容医療トリートメント機器（ハイドラフェイシャル）、インソール作成用グラインダー、等の機器を揃え、全身を総合的に評価しております。","専門分野・得意とする点滴療法
日本抗加齢医学会専門医として総合的に診断します。
点滴療法ではプラセンタ注射、高濃度ビタミンC点滴注射、マイヤーズカクテル、グルタチオン点滴などを行っております。","点滴や治療において心掛けていること
常に感謝の気持ちを持ち、ヒポクラテスが諭した「First,do no harm」の原則、本邦の法律に則った医療を通して社会に貢献することを心掛けております。","来院を検討中の方へのメッセージ
必要に応じて全身状態の把握行い、ひとりひとりの状態に合わせた点滴療法をご提案しております。お気軽のご相談ください。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法",http://www.mro-cl.com,藤田典往
"病気についての悩みや健康に対する不安な思いなど、さまざまな事情で訪れる患者さまに対して、私たちは患者さまそれぞれのご要望にお応えすべく、再生医療を中心とした治療を提供しています。
皆さまの健康長寿を実現するため、特に「がん」「認知症」「疾病予防」「アンチエイジング」のための医療に力を入れています。これらは互いに密接に関係しており、すべての方にとって必要な医療だと考えます。","専門分野・得意とする点滴療法
循環器内科、総合内科、第２種・第３種の再生医療の研究開発を専門にしています。第２種再生医療では自己脂肪由来間葉系幹細胞を使用した治療を、第３種再生医療では樹状細胞やNK細胞を使用したがんの予防や治療を行っています。
点滴療法はニューヨークのサレルノ・センターのDr. ジョン・サレルノのプロトコールを使用しています。キレーション療法は開発者のDr.ゲーリー・ゴードンに師事し、ご指導いただきました。
幹細胞上清療法やCa EDTAキレーション、高濃度ビタミンC点滴療法、そして血液オゾン療法などの点滴療法は、患者さんのご希望をよくお伺いし、身体的問題や病状などを診させていいただいた上で、治療をご提案させていただいています。","点滴や治療において心掛けていること
１．その患者さんにとって治療効果を最大にすることを期待できる医療のご提供。
２．患者さんの身になって、ライフステージやライフスタイルを考慮した医療のご提供。","来院を検討中の方へのメッセージ
もし今、健康や病気のことでお悩みなら、当院の扉をたたいてみてください。何か新しい道をご提案できるかもしれません。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,キレーション療法(Ca-EDTA),プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://tokyocancerclinic.jp,阿部博幸
"【クリニックの所在地に関して】
場所は東京都千代田区で、JRと地下鉄4駅がある市谷駅から徒歩1分です。都内はもとより、近県からも通院しやすい場所を選びました。遠隔地の方は、ZOOM診療も可能で、お互い表情が見られますので、好評です。ビル5階の点滴ルームで、リクライニングチェアから外を見ながら(春は旧江戸城外堀土手の桜が見えます)、ゆったりとした気分で週6日まで点滴可能（日曜日午前中も）です。個室も完備しています。
【治療に関して】
院長の勤務医時代はあらゆる癌患者さんを病棟で診てきましたので、どんな状況の癌の患者さんにも対応できます。院長は半世紀前に高濃度ビタミンC点滴療法を開始したパイオニアの一人で、この医療を中心に据えています（後述）。また、リンパ球療法（T細胞、NK細胞）、樹状細胞ワクチン療法、遺伝子治療など、広義の免疫療法を長年多数実地してきましたので、即効性や遅効性などそれぞれの長所と短所を客観的にお話しできます。
必要に応じて、院長のネットワークを通して、癌の転移巣に対して、最新のピンポイント放射線治療、ラジオ波焼灼療法、血管内治療、局所温熱療法、少量抗癌剤療法など、最適と判断される専門医に紹介しています。
自己免疫疾患などの難病や抗加齢に関しても、いろいろな方法を行っています（後述）。","専門分野・得意とする点滴療法
【専門分野】
内科一般、腫瘍内科、難病医療、抗加齢医療
【点滴療法について】
癌に対する高濃度ビタミンC点滴療法は、個人差はあるものの標準治療との併用がより効果的で抗癌剤や放射線の副作用を減らし、かつ抗癌効果も増強します。
近年高濃度ビタミンC点滴療法の抗癌メカニズムが分子レベルで明らかにされつつあります。
自己免疫疾患などの難病にも高濃度ビタミンC点滴療法が有効であるという多数の臨床経験を持っています。
抗加齢に関しても、体内の抗酸化作用が期待でき、いわば体の錆ができにくくなります。
動脈硬化症など病勢が進んでいれば、進行を遅くし、あるいは病気との共存を目指します。ヨーロッパで長い歴史のあるオゾン療法も行っています。
神経系の難病には、グルタチオン点滴や幹細胞上清点滴などを行っています。","点滴や治療において心掛けていること
癌の標準治療は立派なものですが、治療のリスクとともに、後遺症がある種の確率で起きます。
医療の最終選択権は患者さんにありますが非標準治療だけで進行癌、特に転移癌を治すのは至難ですから、標準治療のどれを選び選ばないかについて、それぞれ長所や短所があり選択は難問です。
半世紀に及ぶ癌・難病の臨床経験のある院長は、標準治療の最新情報を確認しながら、患者さんにとっての最適の組合せを、順位を付けて提案します。補完医療としてビタミンC点滴療法などを選ぶか、どう組み合わせるか、当院では、建前ではなくて本音で、十分時間をかけて話し合っています。
患者さんの価値観を大切にしながら、十分時間をかけて話し合い、ベストの医療を探し出します。","来院を検討中の方へのメッセージ
癌や難病にかかることは、初体験であり、不安がつきものです。無理に前向きになろうとする（欧米医療）よりも、不安そのものをあるがまま受け入れる（東洋思想）方が、気持ちが少し楽になるかもしれません。
小さくても大きくても希望を持つことができれば、日々の生活は少し楽になります。
十分時間をかけて、ご本人のお気持ちをお聴きし、できるだけ寄り添う医療を心掛けています（個別化医療）。年余の無理がたたって発病に至ったのかもしれません。人生をギアチェンジし、心身を休めましょう。
癌・難病は総力戦です。今かかっている病院と共に、当院のスタッフもサポートグループに入れていただければ幸いです。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",http://kenkou-zoushin.com/,院長 水上 治
