,北海道,none,s_tokuda@teishinkai.jp,none
千歳駅北クリニック,北海道,0123-27-8000,info@chitose-ekikita.com,http://www.chitose-ekikita.com/
札幌麻酔クリニック,北海道,011-633-2525,none,http://sapporomasui.com/
医療法人貴優会　くがメディカルクリニック,北海道,0138-34-3800,kuga.medical.clinic@silver.plala.or.jp,http://kuga-medical.com/
医療法人アクティブエイジング　とざわクリニック,東北,022-248-6770,tozawaclinic@me.com,http://www.tozawaclinic.com/
きたのはら女性クリニック,東北,022-722-2077,info@kitanohara.com,http://www.kitanohara.com/
ひかりの森　内科クリニック,関東,0297-85-5601,none,http://hikarinomori-medicalclinic.jp/
あおき矯正歯科,関東,0280-91-1180,info@aokishika.com,http://www.aokishika.com/
青葉メディカルケアクリニック,関東,047-379-1808,none,http://www.aoha-clinic.com/
桐友クリニック　新松戸,関東,047-703-7222,none,http://www.touyu-clinic.com/
行徳総合病院,関東,none,none,none
おゆみ野南医院,関東,none,none,none
医療法人社団聖馬会 飯島クリニック,関東,047-358-3070,yamanaka@geen.jp,none
STARDENTAL Holistic Clinic,関東,047-393-7511,stardental.mc@gmail.com,https://www.stardental.jp/
浦安駅前クリニック,関東,047-380-2222,urayasuekimae@mtd.biglobe.ne.jp,http://www.urayasu.or.jp/
若葉駅前歯科,関東,049-272-3030,none,http://www.wakabaekimae.com/
医療法人　美登会　はるみクリニック,関東,048-994-5510,info@harumi-cl.com,https://harumi-cl.jp/
ひめのともみクリニック,関東,03-5436-7351,none,http://www.himeno-clinic.com/
えがおクリニック,関東,03-6433-5310,cont@egao.clinic,http://www.egao.clinic/
渋谷セントラルクリニック,関東,03-6427-6425,doctors-gym@jewel.ocn.ne.jp,http://www.doctors-gym.com/
さくら通りクリニック,関東,042-580-0075,info@sakura-doori-clinic.com,http://www.sakura-doori-clinic.com/
渋谷セントラルクリニック,関東,03-6427-6425,doctors-gym@jewel.ocn.ne.jp,http://www.doctors-gym.com/
日本橋アレイラクリニック,関東,03-6262-6312,info@arayla.jp,http://arayla.jp/
巣鴨クリニック,関東,03-3918-1666,nakamura-kjc@k05.itscom.net,none
クリニックシュアー銀座,関東,03-3572-1771,info.clinicsure@gmail.com,http://www.clinicsure.jp/
医療法人社団聖泉会 ウェルメディカルクリニック,関東,042-797-3737,e-mail@seisein.or.jp,none
医療法人社団公傳会 日比谷トータルクリニック,関東,03-3591-2617,none,https://www.ssbp1112.com/
駒沢腎クリニック,関東,03-3411-7377,nakamura_ryoichi@nifty.com,https://www.koma-jin.com/
医療財団法人健康院 健康院クリニック,関東,0120-561-287,info@kenkoin.jp,http://www.kenkoin.jp/
 ,関東,none,none,none
満尾クリニック,関東,03-5774-0125,inf@drmitsuo.com,http://www.drmitsuo.com/
若葉台ひふ科,関東,none,none,none
医療法人財団健康院　健康院クリニック,関東,0120-561-287,info@kenkoin.jp,http://www.kenkoin.jp/
日本機能性医学研究所,関東,none,saito@ta4u.jp,http://www.ifmj.jp/
山口病院 / 山口クリニック,関東,03-3915-5885 / 03-3988-0100,none,http://www.yamaguchi-clinic.com/
ルネスクリニック,関東,03-6262-1553,info@renais-clinic.com,https://biken-kai.com/renais-tokyo/
ふるたクリニック,関東,044-959-5116,furuta-cl@festa.ocn.jp,http://furuta-clinic.jp/
女性医療クリニックLUNAネクストステージ,関東,045-680-1226,none,https://www.luna-clinic.jp/
横浜心療クリニック,関東,045-311-9565,info@ys-clinic.jp,http://www.ys-clinic.jp/
相模原中央病院,関東,042-751-5348,anti-info@tokujukai.or.jp,http://sagamihara-chuo-hospital.jp/index.php
相模原中央病院,関東,042-754-2211,talonmd@hotmail.com,http://sagamihara-chuo-hospital.jp/index.php
ユミカ内科小児科ファミリークリニック,関東,044-981-0227,info@yumica-c.com,https://yumica-clinic.jp/
ユノクリニック,関東,046-284-2111,none,none
羽賀心臓血管外科クリニック,甲信越,025-244-5539,info@haga-clinic.com,http://www.haga-clinic.com/
神林医院,甲信越,026-283-0781,none,none
神林医院,甲信越,026-283-0781,none,none
まつだアイクリニック,甲信越,0263-52-0520,none,http://matsuda-eye-clinic.com/
浦田クリニック金沢,甲信越,076-233-7020,none,http://urataclinic-sqolk.jp/life_aging/clinic/
医療法人社団春風会 クレールデンタルオフィス,甲信越,076-232-9006,clairdentaloffice@gmail.com,https://www.clairdental.jp/
金沢メディカルステーション　ヴィーグ,甲信越,076-235-4114,none,http://www.viec.jp/
西野内科医院,甲信越,055-273-6656,none,http://nishino-naika.com/
医療法人社団 富士岡秋山医院,東海,0545-34-0075,none,none
はらクリニック,東海,0558-62-5959,none,https://hara-clinic-izu.com/
竜泉寺診療所,東海,052-795-4099,none,none
フェリシティークリニック名古屋,東海,052-231-5025,felicity@vesta.ocn.ne.jp,https://www.felicityclinic-nagoya.com/
曽我内科クリニック,東海,052-431-6147,tem1206a01352347@gmail.com,none
すぎやま内科クリニック,東海,0586-48-5000,none,http://sugiyama-naika.com/
細川医院,東海,058-262-6333,hosokawa@hoso-clinic.com,http://www.hoso-clinic.com/
いまいずみクリニック,東海,058-210-1184,none,http://www.imaizumi-cl.jp/
医療法人社団　全徳会　大垣セントラルクリニック,東海,0584-71-0163,none,http://www.og-centralcl.com/
Sonoメディカル美容クリニック　九の城院,東海,059-325-7148,sasagawa@sono-beauty.com,http://www.sono-beauty.com./
,近畿,none,none,none
（医）あや菜会　大浜クリニック,近畿,072-233-0610,oohama-clinis@gaea.ocn.ne.jp,http://www.myclinic.ne.jp/oohama/
たにまちクリニック,近畿,06-6776-8966,tanimachi-cl@rio.odn.ne.jp,http://www.tanimachi-clinic.com/
 ,近畿,none,none,none
堂島ライフケアクリニック,近畿,06-6454-4871,none,http://www.dojimalife.com/
くぼクリニック,近畿,0120-570-618,info@kubo-cl.jp,http://www.kubo-cl.jp/
医療法人祥淳会　松平・畠医科歯科クリニック,近畿,073-488-1115,ogu2fun2nobu3sato@shirt.ocn.ne.jp,http://www.matsuhira-dentalclinic.com/
いしやま内科整形外科,近畿,077-574-7700,ishiyama-imos@cronos.ocn.ne.jp,none
医療法人誠心会 佐藤整形外科,中国,086-429-0511,none,none
広島プルミエクリニック,中国,0120-165-800,none,https://hiroshima-biyou.com/
よねざわ生活習慣病・脳クリニック,中国,082-275-5802,info@setonomachi-clinic.jp,https://setonomachi-clinic.jp/
医）女性クリニックラポール,中国,082-241-6009,none,http://www.women-rapport-clinic.com/
さくら美容クリニック,中国,082-212-2330,info@sakurabiyou.com,http://sakurabiyou.com/
医療法人昌成会　國司眼科医院,中国,0837-22-2749,none,none
たにむらようこクリニック,九州,092-833-0251 FAX:092-833-0252,tanimurayokoclinic@soleil.ocn.ne.jp,http://tanimura-yoko-clinic.com/
中島こうやクリニック,九州,092-954-1611,nakashimako@k9.dion.ne.jp,http://www.nkoya.jp/
かたやま脳外科内科クリニック,九州,093-961-0019,info@katayama-clinic.com,http://www.katayama-clinic.com/
医療法人外海弘仁会 日浦病院,九州,0959-25-0039,tsuyoshi@hiura.or.jp,none
医療法人　夢昴会　ふじた歯科,九州,0957-43-2212,fdoinfo@fujitashika.com,http://www.fujitashika.com/
みやざき内科リウマチクリニック,九州,097-558-5600,miyazaki.naika.ra@gmail.com,https://miyazaki-naika.net/
向井病院,九州,0977-23-0241,yuki@mukai-hp.com,http://www.mukai-hp.com/
向井病院,九州,0977-23-0241,masaki@mukai-hp.com,http://www.mukai-hp.com/
医療法人多聞会 東九州泌尿器科,九州,097-553-4539,higakyu@kna.biglobe.ne.jp,none
きんじょう歯科医院,九州,0986-38-0120,kin0120@me.com,https://www.kinjo-dc.com/
はつき皮膚科クリニック,九州,099-806-1300,none,http://hatsuki-clinic.net/
つみのり内科クリニック,九州,099-266-0611,pivot@isis.ocn.ne.jp,http://www.truebalance.jp/
おそえがわ脳神経内科,九州,0952-31-8181,none,https://osoegawa.esaga.jp/
医療法人白寿会 統合医療ハートフルクリニック,沖縄,098-994-7436,st@hakujyukai.com,http://www.hakujyukai.com/
宮古島リハビリ温泉病院,沖縄,0980-73-0800,info@miyako-reha.or.jp,https://miyako-reha.or.jp/
