塚本 拓司,院長・医学博士,https://www.hospita.jp/media/39794/conversions/main-thumb.webp,ツカモト銀座クリニック,none,03-6228-6323,男性,none,慶應義塾大学医学部,"日本抗加齢医学会専門医,透析専門医,泌尿器科専門医"
稲見 景,内科、呼吸器内科、小児科、循環器内科、消化器科、心療内科,https://www.hospita.jp/media/40947/conversions/main-thumb.webp,稲見内科医院,http://www.inami-naika.com/,03-3637-1800,女性,none,聖マリアンナ医科大学,日本抗加齢医学会専門医
池上 芳美,院長,https://www.hospita.jp/media/34912/conversions/main-thumb.webp,池上レディースクリニック,http://www.ikegami-lady.com,03-5838-0228,"女性,女性ヘルスケア専門医",none,日本大学医学部,"日本抗加齢医学会専門医,産婦人科専門医"
張 賢二,院長,https://www.hospita.jp/media/34999/conversions/main-thumb.webp,芳仁皮膚科医院,http://ho-jin.jp/,03-6657-1212,男性,none,日本大学医学部,日本抗加齢医学会専門医
谷口 由紀,美容皮膚科,https://www.hospita.jp/media/38451/conversions/main-thumb.webp,広尾プライム皮膚科,none,0120-255-302,女性,none,大阪市立大学医学部,"日本抗加齢医学会専門医,形成外科専門医,レーザー専門医"
小嶋 哲矢,院長・医学博士,https://www.hospita.jp/media/40877/conversions/main-thumb.webp,こじまクリニック,none,0798-56-8602,男性,none,大阪市立大学医学部,"日本抗加齢医学会専門医,産婦人科専門医,生殖医療専門医"
望月 善子,院長・医学博士,https://www.hospita.jp/media/39518/conversions/main-thumb.webp,もちづき女性クリニック,none,028-678-4165,"女性,女性ヘルスケア専門医",none,鳥取大学医学部,"日本抗加齢医学会専門医,産婦人科専門医"
舘岡 克彦,院長・医学博士,https://www.hospita.jp/media/40854/conversions/main-thumb.webp,ハートクリニック南千住,http://www.heartclinic-msj.jp/,03-5604-0810,男性,none,日本医科大学,"日本抗加齢医学会専門医,循環器専門医"
清水 真弓,院長・医学博士,https://www.hospita.jp/media/40836/conversions/main-thumb.webp,さくら・はるねクリニック銀座,https://sakura-ginza.jp/,03-5250-6850,女性,none,信州大学医学部,"日本抗加齢医学会専門医,産婦人科専門医,生殖医療専門医"
後藤 昭子,院長,https://www.hospita.jp/assets/images/noimage1.jpg,後藤クリニック,http://www.gotoh-clinic.jp/,03-5928-0510,女性,none,昭和大学医学部,"日本抗加齢医学会専門医,消化器病専門医"
西岡 宏彰,院長,https://www.hospita.jp/assets/images/noimage1.jpg,内科外科西岡ファミリークリニック,none,072-920-7368,男性,none,奈良県立医科大学,"外科専門医,日本抗加齢医学会専門医,循環器専門医,消化器外科専門医"
岳 マチ子,院長・医学博士,https://www.hospita.jp/media/34842/conversions/main-thumb.webp,新橋駅前内科クリニック,none,03-3593-7660,女性,none,東京女子医科大学,"日本抗加齢医学会専門医,循環器専門医"
馬場 潤,院長,https://www.hospita.jp/media/34673/conversions/main-thumb.webp,二俣尾診療所,https://futashin.grupo.jp/,0428-78-8981,男性,none,琉球大学医学部,日本抗加齢医学会専門医
伊藤 理恵,院長,https://www.hospita.jp/media/39560/conversions/main-thumb.webp,上社眼科,none,052-773-7734,女性,none,滋賀医科大学,"日本抗加齢医学会専門医,眼科専門医"
宮岸 玲子,内科、産婦人科、婦人科、産科,https://www.hospita.jp/media/33066/conversions/main-thumb.webp,はなおかレディースクリニック,none,03-5767-5285,女性,none,東邦大学医学部,"日本抗加齢医学会専門医,産婦人科専門医"
釜萢 正,院長,https://www.hospita.jp/media/38441/conversions/main-thumb.webp,かまやち内科クリニック,none,03-6450-8506,男性,none,日本医科大学,"総合内科専門医,日本抗加齢医学会専門医,内分泌代謝科専門医,糖尿病専門医"
熊谷 和浩,院長,https://www.hospita.jp/assets/images/noimage1.jpg,フジテレビ湾岸スタジオビル診療所,https://www.fujiwanganshinryo.com/,03-5530-9860,男性,none,慶應義塾大学医学部,"総合内科専門医,日本抗加齢医学会専門医,腎臓専門医"
漆畑 修,院長・医学博士,https://www.hospita.jp/media/38493/conversions/main-thumb.webp,宇野皮膚科医院,http://www.artemide-uno.jp/,03-3414-5488,男性,none,東邦大学医学部,"日本抗加齢医学会専門医,皮膚科専門医"
小柳 衣吏子,院長,https://www.hospita.jp/assets/images/noimage1.jpg,AOHALクリニック,https://aohalclinic.jp/,03-5786-1152,女性,none,順天堂大学医学部,"日本抗加齢医学会専門医,皮膚科専門医"
村田 知昭,院長,https://www.hospita.jp/assets/images/noimage1.jpg,あんずレディースクリニック,http://www.anzu-ladies.com/,03-6456-1682,男性,none,日本医科大学,"日本抗加齢医学会専門医,産婦人科専門医"
